pr_ab	partition	aet	cwd	tmin	ppt_djf	ppt_jja	pH	awc	depth	percent_clay	landform
1	4	503	188.38670349121094	-1.523300051689148	279.185791015625	20.761699676513672	6	0.019999999552965164	76	2	5
1	5	415.4599914550781	257.6466979980469	-1.6966999769210815	451.5028076171875	26.69809913635254	5.9802727699279785	0.06751921027898788	98.756622314453125	4.051152229309082	10
1	5	429.1600036621094	273.17999267578125	-1.583299994468689	306.5898132324219	23.70159912109375	6.003462791442871	0.09414126724004745	142.6938934326172	8.914541244506836	11
1	7	385.0299987792969	352.010009765625	-1.0733000040054321	213.7012939453125	20.2544002532959	5.980435371398926	0.06100543960928917	103.8587646484375	1.931795597076416	14
1	7	349.2167053222656	361.4466857910156	-1.4566999673843384	313.91259765625	19.775299072265625	6.514978408813477	0.04574892297387123	68.27532196044922	4.489062786102295	10
1	1	327.6366882324219	352.7132873535156	-1.983299970626831	194.21910095214844	16.677600860595703	6	0.019999999552965164	76	2	11
1	7	323.67669677734375	412.7167053222656	-1.3233000040054321	280.3739929199219	18.110700607299805	5.334846496582031	0.1434190273284912	173.94876098632812	18.911670684814453	10
0	1	467.0766906738281	250.55670166015625	-0.9700000286102295	439.6690979003906	24.9237003326416	4.748513698577881	0.08130202442407608	201	22.390607833862305	11
0	4	467.0766906738281	250.55670166015625	-0.9700000286102295	439.6690979003906	24.9237003326416	4.748513698577881	0.08130202442407608	201	22.390607833862305	11
1	4	366.5299987792969	196.21670532226562	-2.5632998943328857	422.02301025390625	26.31760025024414	6.699999809265137	0.029999999329447746	201	2.5	4
1	6	446.4767150878906	239.1732940673828	-1.3300000429153442	189.61700439453125	22.01289939880371	6.199999809265137	0.029999999329447746	192	1.100000023841858	11
0	2	378.9833068847656	401.83331298828125	-0.5267000198364258	140.8249969482422	18.116100311279297	6.5	0.03999999910593033	144	1.899999976158142	11
0	9	614.7166748046875	94.40670013427734	-1.416700005531311	435.1111145019531	24.78569984436035	6.0474467277526855	0.019999999552965164	87.861663818359375	2.189786672592163	7
0	10	361.7633056640625	165.05999755859375	-3.4367001056671143	482.0599060058594	27.790700912475586	6.43613338470459	0.0519888699054718	152.62448120117187	6.633907318115234	10
1	9	565.67669677734375	89.70670318603516	-1.7367000579833984	467.8854064941406	27.25860023498535	6.085255146026611	0.07852552831172943	95.0547866821289	11.487149238586426	14
0	4	332.8399963378906	895.03997802734375	9.293299674987793	131.68960571289062	6.517099857330322	6.099999904632568	0.07000000029802322	30	17.5	10
0	6	326.56329345703125	908.3499755859375	9.196700096130371	128.293701171875	5.104000091552734	6.617459297180176	0.1358729749917984	34.76189041137695	21.258758544921875	11
0	6	375.1966857910156	808.42999267578125	9.003299713134766	139.0030975341797	7.641300201416016	6.099999904632568	0.07000000029802322	30	17.5	14
0	1	387.1499938964844	784.41998291015625	8.460000038146973	161.5059051513672	8.405900001525879	6.184433937072754	0.09110848605632782	66.72876739501953	23.32594108581543	7
0	4	327.126708984375	853.6400146484375	9.453300476074219	124.17559814453125	7.433199882507324	6.642031669616699	0.08515936881303787	33	28.833065032958984	11
